,Main_Actor,Aired,Genres,Content_Rating,Tags,Users
12,Push Puttichai Kasetsin ,"  Oct  7, 2018 - Dec 30, 2018 ","  Romance,  Drama,  Fantasy,  Supernatural  ",  G - All Ages ,"  Ghost-seeing Male Lead, Suicide, Family Relationship, Spirit Possession, Death, Ghost Female Lead, Brother-Sister Relationship, Flashback To Past, Hidden Past, Meet Again   ","  1,436 "
13,Mark Prin Suparat ,"  Jan 23, 2017 - Mar 13, 2017 ","  Mystery,  Romance,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Strong Female Lead, Love/Hate Relationship, Misunderstanding, Revenge, Lack Of Communication, Sismance, Death, Entertainment Industry, Adapted From A Novel, Rich Female Lead   ","  6,807 "
14,Nanon Korapat Kirdpan ,"  Oct 29, 2021 - Jan 21, 2022 ","  Comedy,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  Gay Romance, Rivals To Lovers, Rivalry, Rival Families, Secret Romance, Family Conflict, Adapted From A Novel, LGBTQ+, Enemies To Friends, University   ","  33,756 "
15,Tor Thanapob Leeratanakachorn ,"  Jul 15, 2017 - Sep  2, 2017 ","  Youth,  Sports,  Melodrama  ",  13+ - Teens 13 or older ,"  Badminton, Autism, Autistic Male Lead, Character Development, Sibling Rivalry, Mother-Son Relationship, Tearjerker, Bromance, Neurodevelopmental Disorder, Aunt-Nephew Relationship   ","  1,632 "
16,New Thitipoom Techa-apaikhun ,"  Dec 12, 2022 - Feb 27, 2023 ","  Mystery,  Comedy,  Romance,  Supernatural  ",  13+ - Teens 13 or older ,"  Time Travel, Feminist Message, Sex Education, LGBTQ+, Sexual Content, Multiple Couples, Nonbinary Supporting Character, Friendship, Virgin Male Lead, Friends With Benefits   ","  3,862 "
17,Earth Pirapat Watthanasetsiri ,"  Feb  8, 2023 - Mar  2, 2023 ","  Food,  Romance,  Life  ",  15+ - Teens 15 or older ,"  Gay Male Lead, Uncle-Nephew Relationship, Poor Male Lead, Sign Language, LGBTQ+, Restaurant Setting, One-night Stand, Gay Romance, Deaf Supporting Character, Age Gap [Drama Life]   ","  12,695 "
18,Aom Sushar Manaying ,"  Jan 11, 2014 - Mar 16, 2014 ","  Comedy,  Romance  ",  Not Yet Rated ,"  Cohabitation, Marriage Of Convenience, Contract Relationship, Naive Female Lead, Rich Man/Poor Woman, Filmed Abroad, Famous Lead/Common Lead, Clingy Male Lead, Famous Male Lead, Bickering Mains' Relationship   ","  10,447 "
19,Pearwah Nichaphat Chatchaipholrat ,"  Aug  1, 2022 - Sep 27, 2022 ","  Mystery,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Female Centered Plot, Betrayed By A Friend, Long Time Friends, Friends To Enemies, Female Rivalry, Infidelity, Adapted From A Novel, Sexual Assault, Sismance, Murder   ","  1,126 "
20,Kitty Chicha Amatayakul ,"  Dec  4, 2020 - Feb 12, 2021 ","  Life,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  1990s, Found Family, Drug Usage, Dysfunctional Family, Rape, Homophobia, Prostitution, Domestic Abuse, Child Abuse, MDL Remake   ",  415 
21,Namtan Tipnaree Weerawatnodom ,"  May  2, 2020 - Jun 28, 2020 ","  Mystery,  Romance,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  School Bullying, School Problems, Identity Swap, Strict Mother, Hidden Identity, Mother-Daughter Relationship, Suicide, Investigation, Mother-Son Relationship, Father-Son Relationship   ","  1,443 "
22,Nanon Korapat Kirdpan ,"  Sep  6, 2020 - Nov 29, 2020 ","  Thriller,  Mystery,  Psychological,  Supernatural  ",  13+ - Teens 13 or older ,"  High School, Multiple Mains, Friendship, Sci-Fi, Rebellion, Slight Romance, Teamwork, Power Struggle, Generational Conflict, Rival Groups   ","  5,384 "
23,Toey Jarinporn Joonkiat ,"  Jun  6, 2023 - Aug 15, 2023 ","  Romance,  Life  ",  G - All Ages ,"  Doctor Male Lead, Cheerful Female Lead, Healthy Mains’ Relationship, Supportive Parent, Nice Female Lead, LGBTQ+, Smart Male Lead, Abusive Parents, Transgender Character, Nice Male Lead   ",  448 
24,Tor Thanapob Leeratanakachorn ,"  Mar  4, 2019 - Jun 10, 2019 ","  Romance,  Crime,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Hidden Identity, Double Identity, Revenge, Evil Stepmother, Steamy Kiss, First Love, Aggressive Male Lead, Forced Kiss, Slap And Kiss, Healing   ","  6,458 "
25,Nappon Gomarachun ,"  Jun  9, 2023 - Aug  4, 2023 ","  Thriller,  Mystery,  Youth  ",  13+ - Teens 13 or older ,"  Student Female Lead, Student Male Lead, Teenager Female Lead, Teenager Male Lead, Boarding School, Multiple Mains, Autistic Male Lead, Suspense, High School, Student Supporting Character   ","  2,053 "
26,Tae Darvid Kreepolrerk ,"  Apr 18, 2022 - Jul 11, 2022 ","  Thriller,  Romance,  Medical,  Fantasy  ",  13+ - Teens 13 or older ,"  Bisexual Male Lead, Time Loop, Doctor Male Lead, LGBTQ+, Gay Romance, Time Altering, Suspense, Doctor Supporting Character, Hospital Setting, Investigation   ","  7,939 "
27,Film Thanapat Kawila ,"  Oct  3, 2022 - Nov 28, 2022 ","  Historical,  Mystery,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Half-brothers' Relationship, Graphic Violence, Servant Supporting Character, Heir Male Lead, Gay Male Lead, Supportive Brother, Closeted, Controlling Parent, Attempted Murder, Secret   ","  2,252 "
28,Great Warintorn Panhakarn ,"  Nov  8, 2019 - Dec 15, 2019 ","  Action,  Comedy,  Romance,  Crime  ",  Not Yet Rated ,"  Fake Marriage, Contract Relationship, Rich Man/Poor Woman, Sassy Female Lead, Poor Female Lead, Ghost-seeing Female Lead, Marriage Of Convenience, Tragic Past, Multiple Couples, Abusive Father   ","  2,281 "
29,First Kanaphan Puitrakul ,"  Aug 12, 2022 - Oct 28, 2022 ","  Mystery,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  Gay Male Lead, Gay Romance, Enemies To Lovers, Gay Supporting Character, All-Boys School, LGBTQ+, Male Centered Plot, High School, Investigation, Homophobia   ","  19,205 "
30,Max Nattapol Diloknawarit ,"  Nov 30, 2020 - Feb 22, 2021 ","  Thriller,  Mystery,  Romance  ",  18+ Restricted (violence & profanity) ,"  Strong Male Lead, Investigation, Gay Romance, LGBTQ+, Death, Murder, Sexual Abuse, Adapted From A Novel, Steamy Kiss, Doctor Male Lead   ","  20,374 "
31,Fluke Natouch Siripongthon ,"  Nov  9, 2019 - Mar  1, 2020 ","  Food,  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Fated Love, Reincarnated Lovers, Soulmates, Adapted From A Novel, Reincarnation, LGBTQ+, Friendship, Cooking, University, Crybaby Male Lead   ","  32,896 "
32,Mark Prin Suparat ,"  Nov 19, 2020 - Dec 15, 2020 ","  Mystery,  Comedy,  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Female Chases Male First, Countryside Male Lead, Clingy Female Lead, Mean Male Lead, Possessive Male Lead, Character Development, Childhood Trauma, Love/Hate Relationship, Enemies To Lovers, Jealous Male Lead   ","  3,049 "
33,Yin Anan Wong ,"  Jul  8, 2022 - Jul 22, 2022 ","  Romance,  Youth,  Drama  ",  18+ Restricted (violence & profanity) ,"  Student Supporting Character, Student Male Lead, School Setting, Young Adult Male Lead, Gay Male Lead, Gay Romance, Dubious Consent, University, LGBTQ+, Miniseries   ",  910 
34,Tor Thanapob Leeratanakachorn ,"  Mar  6, 2023 - Apr  4, 2023 ","  Mystery,  Horror,  Fantasy,  Supernatural  ",  13+ - Teens 13 or older ,"  Curse, Black Magic, Bromance, Violence, Museum Curator Male Lead, Dark Fantasy, Ghost, Investigation, Barista Male Lead, Supernatural Being   ","  2,983 "
35,Billkin Putthipong Assaratanakul ,"  Oct 22, 2020 - Nov 19, 2020 ","  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Jealous Male Lead, Friends To Lovers, Jealousy, LGBTQ+, Hardworking Male Lead, Heartbreak, Meet Again, Coming Of Age, Gay Romance, Coming Out   ","  23,599 "
36,Michael Pattaradet Sa-nguankwamdee ,"  Sep 27, 2019 - Nov  1, 2019 ","  Action,  Romance,  Crime,  Supernatural  ",  Not Yet Rated ,"  Kidnapping, Stockholm Syndrome, Older Man/Younger Woman, Gun Violence, Magical Power, Badass Male Lead, Smart Female Lead, Sassy Female Lead, Vengeance, Love At First Sight   ",  944 
37,Aom Sushar Manaying ,"  Oct  5, 2015 - Dec  8, 2015 ","  Comedy,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Student Female Lead, Student Male Lead, School Setting, Childhood Friends' Relationship, University, Family Relationship, High School, Cold Man/Warm Woman, Female Chases Male First, Student Supporting Character   ","  7,447 "
38,Singto Prachaya Ruangroj ,"  Feb 28, 2019 - Apr 25, 2019 ","  Mystery,  Comedy,  Romance,  Supernatural  ",  15+ - Teens 15 or older ,"  Ghost-seeing Male Lead, Nice Male Lead, Tragic Past, Adapted From A Novel, Gay Male Lead, Investigation, LGBTQ+, Interspecies Romance, Ghost Male Lead, Gay Romance   ","  13,768 "
39,Krist Perawat Sangpotirat ,"  Sep 18, 2020 - Nov  6, 2020 ","  Comedy,  Youth,  Drama,  Sitcom  ",  13+ - Teens 13 or older ,"  Different Personalities, Phobia, Bromance, Grief, Multiple Mains, Friendship, Housemates' Relationship, Miniseries, Childhood Trauma, Father-Son Relationship   ","  6,419 "
40,Yin Anan Wong ,"  Jun 18, 2022 - Aug  6, 2022 ","  Romance,  Youth,  Drama  ",  18+ Restricted (violence & profanity) ,"  Infidelity, Gay Romance, Dubious Consent, Gay Male Lead, University, LGBTQ+, Enemies To Lovers, Trust Issues, Poor Man/Rich Man, Adapted From A Novel   ","  13,316 "
41,James Jirayu Tangsrisuk ,"  Jun 25, 2018 - Aug  7, 2018 ","  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Rich Female Lead, Spoiled Female Lead, Nice Male Lead, Love/Hate Relationship, Male Chases Female First, Misunderstanding, Marriage, Jealousy, Slap And Kiss, Rich Woman/Poor Man   ","  2,561 "
42,Aye Sarunchana Apisamaimongkol ,"  May 23, 2021 - Jun  6, 2021 ","  Mystery,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  Investigation, Friendship, Social Media, Revenge, Entertainment Industry, Cyberbullying, Miniseries, School Bullying, Suicide, Tearjerker   ",  596 
43,Boss Chaikamon Sermsongwittaya ,"  Aug 18, 2022 - Nov 10, 2022 ","  Comedy,  Romance,  Life,  Drama  ",  18+ Restricted (violence & profanity) ,"  Gay Romance, Auto Mechanic Male Lead, Bisexual Male Lead, Sexual Content, Love/Hate Relationship, Naive Male Lead, University, Playboy Male Lead, Motorcycle Racing, Architect Male Lead   ","  24,204 "
44,Saint Suppapong Udomkaewkanjana ,"  Mar  3, 2021 - Apr 22, 2021 ","  Horror,  Comedy,  Romance,  Supernatural  ",  15+ - Teens 15 or older ,"  Ghost-seeing Male Lead, Strong Female Lead, Ghost, Amnesia, Adapted From A Webtoon, Skilled Fighter, Strong Male Lead, Interspecies Romance, Nice Male Lead, Hardworking Male Lead   ","  1,415 "
45,Billkin Putthipong Assaratanakul ,"  May 27, 2021 - Jun 24, 2021 ","  Romance,  Life,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Coming Of Age, University, LGBTQ+, Performing Arts, Gay Relationship, Tearjerker, College To Working Life, Bisexual Male Lead, Steamy Kiss, Time Skip   ","  11,966 "
46,Yaya Urassaya Sperbund ,"  May 14, 2018 - Jun 19, 2018 ","  Action,  Military,  Romance,  Drama  ",  G - All Ages ,"  Badass Female Lead, Princess Female Lead, Tough Female Lead, Badass Male Lead, Noble Woman/Common Man, Royalty, Sibling Rivalry, Calm Male Lead, Strong Female Lead, Nice Male Lead   ","  2,764 "
47,Earth Katsamonnat Namwirote ,"  Aug 12, 2022 - Nov 11, 2022 ","  Romance,  Life,  Youth  ",  13+ - Teens 13 or older ,"  Childhood Friends' Relationship, LGBTQ+, Coming Of Age, Slow Burn Romance, Teenager Male Lead, Friendship, Adapted From A Novel, Gay Male Lead, Teenager Supporting Character, Age Gap [Real Life]   ","  7,886 "
48,Mile Phakphum Romsaithong ,"  Apr  2, 2022 - Jul  9, 2022 ","  Action,  Romance,  Crime,  Drama  ",  18+ Restricted (violence & profanity) ,"  Gay Romance, Mafia, LGBTQ+, Violence, Sexual Content, Adapted From A Novel, Multiple Couples, Rivalry, Bodyguard Male Lead, Gang Leader Male Lead   ","  33,704 "
49,Krist Perawat Sangpotirat ,"  May 26, 2023 - Aug 11, 2023 ","  Romance,  Life,  Supernatural  ",  13+ - Teens 13 or older ,"  LGBTQ+, Gay Romance, Time Travel, Adapted From A Novel, Poor Man/Rich Man, Bisexual Male Lead, Love Triangle, Gay Male Lead, Insecure Male Lead, Time Altering   ","  5,751 "
50,Cris Horwang️️️️️️ ,"  Jun 12, 2022 - Aug 28, 2022 ","  Business,  Comedy,  Romance,  Drama  ",  Not Yet Rated ,"  Mother-Daughter Relationship, Stripper Supporting Character, Bar Owner Female Lead, Hardworking Female Lead, Rivalry, Older Woman/Younger Man, Enemies To Lovers, Friendship, Money-Obsession, Debt   ","  1,543 "
51,Up Poompat Iam-samang ,"  Feb 24, 2021 - May 12, 2021 ","  Comedy,  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Entertainment Industry, Social Media, Cohabitation, Nice Male Lead, LGBTQ+, Adapted From A Novel, Fan Culture, Hidden Agenda, Calm Male Lead, Friends To Lovers   ","  20,949 "
52,Namtarn Pichukkana Wongsarattanasin ,"  Aug 30, 2019 - Sep 28, 2019 ","  Historical,  Comedy,  Romance,  Supernatural  ",  Not Yet Rated ,"  Doppelganger, Time Travel, Strong Female Lead, Adapted From A Novel, Secondary Couple, Past And Present, Different Timelines, Identity Swap, Tomboy Female Lead, Doctor Male Lead   ",  695 
53,Kitty Chicha Amatayakul ,"  May  7, 2021 ","  Mystery,  Horror,  Psychological,  Drama  ",  18+ Restricted (violence & profanity) ,"  Gore, Revenge, Anthology, Strong Female Lead, Murder, High School, Suspense, Antiheroine Female Lead, Blood, Investigation   ","  9,523 "
54,Oab Oabnithi Wiwattanawarang ,"  May 20, 2017 - Jul  8, 2017 ","  Youth,  Sports,  Melodrama  ",  Not Yet Rated ,"  Teamwork, Volleyball, Rivalry, Bromance, Character Development, Enemies To Friends, Father-Son Relationship, High School, Unrequited Love, Friends To Enemies   ","  1,630 "
55,Toni Rakkaen ,"  Oct 18, 2019 - Dec 20, 2019 ","  Thriller,  Mystery,  Horror,  Drama  ",  15+ - Teens 15 or older ,"  Multiple Mains, Morality, Revenge, Adapted From A Comic, Hatred, Investigation, Suspense, Murder, Father-Daughter Relationship, Brother-Sister Relationship   ","  1,089 "
56,Bua Nalinthip Sakulongumpai ,"  Feb 15, 2018 - Mar 29, 2018 ","  Mystery,  Comedy,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Strong Female Lead, Badass Female Lead, Cohabitation, Investigation, Hidden Identity, Impersonation, Fake Marriage, Death, Male Chases Female First, Nice Male Lead   ","  1,769 "
57,James Jirayu Tangsrisuk ,"  Jan 13, 2016 - Feb 25, 2016 ","  Action,  Historical,  Romance,  Drama  ",  G - All Ages ,"  Arranged Marriage, Ex-girlfriend Comes Back, Slow Burn Romance, Poor Male Lead, Supportive Mother-in-Law, Arranged Relationship, Love Triangle, Hidden Identity, Birth Secret, Calm Female Lead   ","  2,010 "
58,Fern Nopjira Lerkkajornnamkul ,"  Mar 23, 2022 - May 18, 2022 ","  Romance,  Drama,  Family  ",  13+ - Teens 13 or older ,"  Heir Male Lead, Marriage Of Convenience, Family Secret, Evil Ex-boyfriend, Family Conflict, LGBTQ+, Love Triangle   ",  953 
59,Vill Wannarot Sonthichai ,"  Apr  7, 2014 - Jul  8, 2014 ","  Comedy,  Romance,  Fantasy  ",  Not Yet Rated ,"  Transformation, Rich Female Lead, Spoiled Female Lead, Airhead Female Lead, Rich Male Lead, Orphan Female Lead, Curse, Childhood Friends' Relationship, Nice Male Lead, Revenge   ","  1,189 "
60,Yaya Urassaya Sperbund ,"  Jul 20, 2022 - Sep 14, 2022 ","  Romance,  Drama,  Melodrama  ",  G - All Ages ,"  Auto Mechanic Male Lead, Heiress Female Lead, Cunning Protagonist, Manipulative Supporting Character, Crybaby Female Lead, Disapproving Parent, Lovers Separated, Time Skip, Forbidden Love, Poor Male Lead   ","  1,299 "
61,Taew Natapohn Tameeruks ,"  Apr 25, 2018 - Jun 20, 2018 ","  Action,  Historical,  Romance,  Political  ",  G - All Ages ,"  Palace Setting, Ayutthaya Period, Historical Fiction, Spoiled Female Lead, Strong Male Lead, Eunuch, Smart Female Lead, Power Struggle, Hidden Identity, Calm Male Lead   ",  478 
62,Mario Maurer ,"  Jan 31, 2019 - Mar 20, 2019 ","  Historical,  Comedy,  Romance,  Medical  ",  Not Yet Rated ,"  Love Triangle, King Rama V, Rattanakosin Kingdom, Historical Fiction, Secondary Couple, Sassy Female Lead, Smart Male Lead, Death, Black Magic, Male Chases Female First   ",  617 
63,Nanon Korapat Kirdpan ,"  Oct 13, 2019 - Dec 29, 2019 ","  Mystery,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Secret Organization, Multiple Mains, High School, Investigation, Bromance, Adapted From A Novel, Male Centered Plot, Brother-Sister Relationship, Smart Male Lead, Hidden Identity   ","  3,376 "
64,Petch Paopetch Charoensook ,"  Aug 16, 2021 - Oct  5, 2021 ","  Action,  Thriller,  Mystery,  Drama  ",  15+ - Teens 15 or older ,"  Death, Tragic Past, Murder, Investigation, Suspense, Multiple Timelines, Cold Male Lead, Dissociative Amnesia, Long Lost Sibling, Childhood Acquaintance   ",  695 
65,Aokbab Chutimon Chuengcharoensukying ,"  Nov  6, 2019 - Feb 12, 2020 ","  Thriller,  Mystery,  Psychological,  Drama  ",  Not Yet Rated ,"  Sexual Assault, Insomnia, Rape, Murder, Gaslighting, Strong Female Lead, Sismance, Investigation, Suspense, Death   ",  410 
66,Alek Teeradetch Metawarayut ,"  Jan 26, 2022 - Mar 31, 2022 ","  Business,  Romance,  Drama,  Family  ",  Not Yet Rated ,"  Rival Families, Smart Female Lead, Rivals To Lovers, Multiple Mains, Smart Male Lead, Ex-girlfriend Comes Back, Love Square, Strong Female Lead   ",  599 
67,Krist Perawat Sangpotirat ,"  Aug 20, 2016 - Jan  7, 2017 ","  Comedy,  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  LGBTQ+, Hazing, Adapted From A Novel, Gay Romance, Enemies To Lovers, Multiple Couples, Bisexual Male Lead, Cold Man/Warm Man, Cold Male Lead, Aggressive Male Lead   ","  28,171 "
68,Euro Yotsawat Tawapee ,"  Jan 15, 2023 - Mar 12, 2023 ","  Mystery,  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Searching For Biological Father, Farmer Male Lead, Spoiled Female Lead, Enemies To Lovers, Investigation   ",  363 
69,Weir Sukollawat Kanarot ,"  Apr 28, 2018 - Jun  2, 2018 ","  Action,  Romance,  Drama  ",  18+ Restricted (violence & profanity) ,"  Attempted Murder, Strong Male Lead, Failing Marriage, Nice Female Lead, Skinship, Nice Male Lead, Ex-wife Comes Back, Slow Burn Story, Secondary Couple, Smart Female Lead   ",  600 
70,Ken Theeradeth Wongpuapan ,"  Dec  4, 2017 - Jan 23, 2018 ","  Romance,  Drama  ",  15+ - Teens 15 or older ,"  Revenge, Slap And Kiss, Fake Kisses, Enemies To Lovers, Forced Marriage, Strong Female Lead, Mafia, Controlling  Male Lead, Aggressive Male Lead, Adapted From A Novel   ","  1,000 "
71,Kun Kunchanuj Kengkarnka ,"  Apr  9, 2017 - Apr 30, 2017 ","  Music,  Comedy,  Romance,  Youth  ",  G - All Ages ,"  Opposites Attract, Nice Male Lead, Contract Relationship, Character Development, Singing, Male Chases Female First, Rock'N'Roll, Web Series, Heartbreak, Adapted From A Novel   ","  1,835 "
72,Pond Naravit Lertratkosum ,"  Dec 13, 2022 - Feb 28, 2023 ","  Action,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  School Setting, LGBTQ+, High School, Bodyguard Male Lead, Poor Man/Rich Man, Death Of A Father, Student Male Lead, Gay Romance, Friendship, Bilingual Male Lead   ","  11,995 "
73,Film Thanapat Kawila ,"  Jul 15, 2023 - Sep  2, 2023 ","  Law,  Romance,  Drama  ",  G - All Ages ,"  Martial Artist Male Lead, Morally Ambiguous Male Lead, Lawyer Male Lead, Gore, Money-Hungry Male Lead, Flirty Male Lead, Enemies To Lovers, Supportive Grandmother, Dropout Male Lead, Nightclub Owner Supporting Character   ","  1,289 "
74,Sea Tawinan Anukoolprasert ,"  Jul 16, 2022 - Oct  1, 2022 ","  Romance,  Youth,  Drama,  Fantasy  ",  13+ - Teens 13 or older ,"  Body Swap, Alternate Universe, Hidden Identity, LGBTQ+, Adapted From A Novel, Friends To Lovers, Transmigration, Gay Male Lead, Gay Romance, Friendship   ","  12,478 "
75,Lee Thanat Lowkhunsombat ,"  Aug 10, 2022 - Sep 15, 2022 ","  Romance,  Life,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Anthology, Multiple Mains, Chasing A Dream, Regret, Flashback To Past, Antiques, Adapted From A Comic, Multiple Couples, Return To Hometown, Gay Male Lead   ",  412 
76,Singto Prachaya Ruangroj ,"  Dec  9, 2017 - Mar 10, 2018 ","  Romance,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  LGBTQ+, Multiple Couples, Intern Male Lead, Gay Romance, Cold Male Lead, Aggressive Male Lead, Nice Male Lead, Student Male Lead, University, Hazing   ","  18,360 "
77,Alek Teeradetch Metawarayut ,"  Jun 12, 2021 - Jul 18, 2021 ","  Mystery,  Romance,  Supernatural  ",  15+ - Teens 15 or older ,"  Body Swap, Hidden Identity, Selfish Male Lead, Nice Female Lead, Nice Male Lead, Strong Male Lead, Multiple Couples, Attempted Murder, Love Square, Strong Female Lead   ",  609 
78,Mik Thongraya ,"  Jan 28, 2020 - Mar 24, 2020 ","  Action,  Comedy,  Romance,  Drama  ",  Not Yet Rated ,"  Forced Marriage, Rich Male Lead, Badass Female Lead, Mother-Son Relationship, Nice Male Lead, Cohabitation, Bickering Mains' Relationship, Farm Setting, Married Life, Sisters' Relationship   ","  1,337 "
79,Baifern Pimchanok Luevisadpaibul ,"  Jul  7, 2021 - Sep  2, 2021 ","  Comedy,  Romance  ",  G - All Ages ,"  Sismance, Female Rivalry, Nice Male Lead, First Love, Female Chases Male First, Sassy Female Lead, Multiple Couples, Doctor Male Lead, Cheerful Female Lead, Childhood Acquaintance   ","  1,300 "
80,New Thitipoom Techa-apaikhun ,"  Sep 26, 2021 - Oct 17, 2021 ","  Comedy,  Romance,  Youth,  Drama  ",  Not Yet Rated ,"  Smart Male Lead, Cohabitation, Nice Female Lead, Calm Male Lead, Nice Male Lead, Hardworking Female Lead, University, Male Chases Female First, Multiple Couples, Idol Actor   ","  1,812 "
81,Tay Tawan Vihokratana ,"  Oct 12, 2019 - Dec 28, 2019 ","  Comedy,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  LGBTQ+, Possessive Male Lead, Jealousy, Multiple Couples, Secret Relationship, Hardworking Male Lead, Misunderstanding, Aggressive Male Lead, Clingy Male Lead, Love Triangle   ","  20,245 "
82,Nanon Korapat Kirdpan ,"  Dec  6, 2021 - Jan 24, 2022 ","  Drama,  Sci-Fi,  Fantasy  ",  13+ - Teens 13 or older ,"  Multiple Mains, High School, Second Chance, LGBTQ+, Cancer, Becoming Young, Transformation, Student Supporting Character, Student Female Lead, Student Male Lead   ","  1,571 "
83,Top Todsapol Maisuk ,"  Sep  9, 2019 - Oct 31, 2019 ","  Thriller,  Mystery,  Psychological,  Sci-Fi  ",  Not Yet Rated ,"  Time Travel, Investigation, Suspense, Nice Male Lead, MDL Remake, Detective Fiction, Detective Male Lead, Serial Killings, Death, Murder   ",  215 
